Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame	Lineage	BranchLen	Num_Tips_Downstream	Total_SNPs
Node_119	4	0	4	0	0	3386	0.0	0.0	4411502	4408102	lineage2	4.840746	2.0	4
Node_120	7	0	7	0	0	3386	0.0	0.0	4411508	4408108	lineage2	6.953505	3.0	7
Node_121	3	0	3	0	0	3386	0.0	0.0	4411509	4408109	lineage2	4.023899	4.0	3
Node_122	2	0	2	0	0	3386	0.0	0.0	4411509	4408109	lineage2	2.11359	6.0	2
Node_123	19	0	19	0	0	3386	0.0	0.0	4411509	4408109	lineage2	18.751324	8.0	19
Node_124	41	0	41	0	0	3386	0.0	0.0	4411509	4408109	lineage2	42.332077	9.0	41
Node_125	0	0	0	0	0	3386	0.0	0.0	4411532	4408132	lineage2	0.021911	12.0	0
Node_126	22	0	22	0	0	3386	0.0	0.0	4411532	4408132	lineage2	22.156029	14.0	22
Node_127	7	0	7	0	0	3386	0.0	0.0	4411532	4408132	lineage2	6.532794	16.0	7
Node_128	17	0	17	0	0	3386	0.0	0.0	4411532	4408132	lineage2	16.810854	31.0	17
Node_129	5	0	5	0	0	3386	0.0	0.0	4411532	4408132	lineage2	4.160631	45.0	5
Node_130	233	18	215	2	946	3386	0.083721	0.009302	4411532	4408452	lineage2	215.671875	46.0	233
Node_131	351	45	306	4	1208	3068	0.147059	0.013072	4411532	4409848	lineage2	314.938965	61.0	351
Node_132	89	16	73	2	946	1674	0.219178	0.027397	4411532	4409993	None	74.002754	68.0	89
Node_133	410	58	352	8	1531	1531	0.164773	0.022727	4411532	4411532	None	357.075928	130.0	410
Node_134	154	44	110	3	356	2770	0.4	0.027273	4411484	4409237	lineage1	110.723557	2.0	154
Node_135	71	0	71	0	0	3082	0.0	0.0	4411490	4408395	lineage1	71.701073	2.0	71
Node_136	30	0	30	0	0	3082	0.0	0.0	4411495	4408400	lineage1	30.514933	2.0	30
Node_137	33	0	33	0	0	3082	0.0	0.0	4411499	4408404	lineage1	34.098419	3.0	33
Node_138	54	0	54	0	0	3082	0.0	0.0	4411494	4408399	lineage1	54.337337	2.0	54
Node_139	2	0	2	0	0	3082	0.0	0.0	4411499	4408404	lineage1	1.979589	5.0	2
Node_140	5	0	5	0	0	3082	0.0	0.0	4411499	4408404	lineage1	4.069175	6.0	5
Node_141	1	0	1	0	0	3082	0.0	0.0	4411499	4408404	lineage1	0.788201	7.0	1
Node_142	145	14	131	2	337	3082	0.10687	0.015267	4411499	4408719	lineage1	134.310715	9.0	145
Node_143	23	0	23	0	0	2769	0.0	0.0	4411500	4408720	lineage1	22.415037	10.0	23
Node_144	46	5	41	1	122	2769	0.121951	0.02439	4411500	4408956	lineage1	37.67905	11.0	46
Node_145	168	9	159	1	122	2534	0.056604	0.006289	4411500	4409027	lineage1	163.104919	12.0	168
Node_146	56	7	49	1	122	2463	0.142857	0.020408	4411500	4409253	lineage1	45.625191	13.0	56
Node_147	608	65	543	9	2238	2238	0.119705	0.016575	4411500	4411500	lineage1	556.299683	15.0	608
Node_148	7	0	7	0	0	0	0.0	0.0	4411532	4411532	None	9.482443	145.0	7
Node_149	41	0	41	0	0	0	0.0	0.0	4411532	4411532	None	65.055931	146.0	41
