Chrom	Start	End	Strand	Feature	H37rv_GeneID	Symbol	Functional_Category	Gene_Cat_V2	N_Pos	N_Neg	Total	Positive_Proportion	Middle	Length	AnyPosEpitope	Antigen_LVL2	N_HmRegion	HasHmRegion	AntigenLVL2_And_HHR_Comb
NC_000962.3	534444	535215	-	CDS	Rv0446c	Rv0446c	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	534829.5	771	False	False	0	False	NonReactive-Unq
NC_000962.3	535223	536507	-	CDS	Rv0447c	ufaA1	lipid metabolism	lipid metabolism	0	6	6	0.0	535865.0	1284	False	False	0	False	NonReactive-Unq
NC_000962.3	536503	537169	-	CDS	Rv0448c	Rv0448c	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	536836.0	666	False	False	0	False	NonReactive-Unq
NC_000962.3	537228	538548	-	CDS	Rv0449c	Rv0449c	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	537888.0	1320	False	False	0	False	NonReactive-Unq
NC_000962.3	538587	541491	-	CDS	Rv0450c	mmpL4	cell wall and cell processes	cell wall and cell processes	0	11	11	0.0	540039.0	2904	False	False	0	False	NonReactive-Unq
NC_000962.3	541487	541910	-	CDS	Rv0451c	mmpS4	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	541698.5	423	False	False	0	False	NonReactive-Unq
NC_000962.3	542141	542852	+	CDS	Rv0452	Rv0452	regulatory proteins	regulatory proteins	0	4	4	0.0	542496.5	711	False	False	0	False	NonReactive-Unq
NC_000962.3	543173	544730	+	CDS	Rv0453	PPE11	PE/PPE	PE/PPE	1	7	8	0.125	543951.5	1557	True	False	0	False	NonReactive-Unq
NC_000962.3	545374	545821	-	CDS	Rv0455c	Rv0455c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	545597.5	447	False	False	0	False	NonReactive-Unq
NC_000962.3	545888	546803	-	CDS	Rv0456c	echA2	lipid metabolism	lipid metabolism	0	5	5	0.0	546345.5	915	False	False	0	False	NonReactive-Unq
NC_000962.3	547075	547357	-	CDS	Rv0456A	mazF1	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	547216.0	282	False	False	0	False	NonReactive-Unq
NC_000962.3	547585	549607	-	CDS	Rv0457c	Rv0457c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	10	10	0.0	548596.0	2022	False	False	0	False	NonReactive-Unq
NC_000962.3	549674	551198	+	CDS	Rv0458	Rv0458	intermediary metabolism and respiration	intermediary metabolism and respiration	0	8	8	0.0	550436.0	1524	False	False	0	False	NonReactive-Unq
NC_000962.3	551197	551689	+	CDS	Rv0459	Rv0459	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	551443.0	492	False	False	0	False	NonReactive-Unq
NC_000962.3	551748	551988	+	CDS	Rv0460	Rv0460	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	551868.0	240	False	False	0	False	NonReactive-Unq
NC_000962.3	552025	552550	+	CDS	Rv0461	Rv0461	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	552287.5	525	False	False	0	False	NonReactive-Unq
NC_000962.3	552613	554008	+	CDS	Rv0462	lpdC	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	553310.5	1395	False	False	0	False	NonReactive-Unq
NC_000962.3	554015	554309	+	CDS	Rv0463	Rv0463	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	554162.0	294	False	False	0	False	NonReactive-Unq
NC_000962.3	554312	554885	-	CDS	Rv0464c	Rv0464c	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	554598.5	573	False	False	0	False	NonReactive-Unq
NC_000962.3	554881	556306	-	CDS	Rv0465c	Rv0465c	regulatory proteins	regulatory proteins	0	7	7	0.0	555593.5	1425	False	False	0	False	NonReactive-Unq
NC_000962.3	556457	557252	+	CDS	Rv0466	Rv0466	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	556854.5	795	False	False	0	False	NonReactive-Unq
NC_000962.3	557526	558813	+	CDS	Rv0467	icl1	intermediary metabolism and respiration	intermediary metabolism and respiration	0	6	6	0.0	558169.5	1287	False	False	0	False	NonReactive-Unq
NC_000962.3	558894	559755	+	CDS	Rv0468	fadB2	lipid metabolism	lipid metabolism	0	4	4	0.0	559324.5	861	False	False	0	False	NonReactive-Unq
NC_000962.3	559887	560748	+	CDS	Rv0469	umaA	lipid metabolism	lipid metabolism	0	4	4	0.0	560317.5	861	False	False	0	False	NonReactive-Unq
NC_000962.3	560847	561711	-	CDS	Rv0470c	pcaA	lipid metabolism	lipid metabolism	0	4	4	0.0	561279.0	864	False	False	0	False	NonReactive-Unq
NC_000962.3	561853	562294	-	CDS	Rv0470A	Rv0470A	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	562073.5	441	False	False	0	False	NonReactive-Unq
NC_000962.3	562224	562713	-	CDS	Rv0471c	Rv0471c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	562468.5	489	False	False	1	True	NonReactive-HHR
NC_000962.3	562722	563427	-	CDS	Rv0472c	Rv0472c	regulatory proteins	regulatory proteins	0	3	3	0.0	563074.5	705	False	False	0	False	NonReactive-Unq
NC_000962.3	563563	564934	+	CDS	Rv0473	Rv0473	cell wall and cell processes	cell wall and cell processes	0	7	7	0.0	564248.5	1371	False	False	0	False	NonReactive-Unq
NC_000962.3	565020	565443	+	CDS	Rv0474	Rv0474	regulatory proteins	regulatory proteins	0	2	2	0.0	565231.5	423	False	False	0	False	NonReactive-Unq
NC_000962.3	565796	566396	+	CDS	Rv0475	hbhA	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	566096.0	600	False	False	0	False	NonReactive-Unq
NC_000962.3	566507	566771	+	CDS	Rv0476	Rv0476	cell wall and cell processes	cell wall and cell processes	0	1	1	0.0	566639.0	264	False	False	0	False	NonReactive-Unq
NC_000962.3	566775	567222	+	CDS	Rv0477	Rv0477	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	566998.5	447	False	False	0	False	NonReactive-Unq
NC_000962.3	567221	567896	+	CDS	Rv0478	deoC	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	567558.5	675	False	False	0	False	NonReactive-Unq
NC_000962.3	567920	568967	-	CDS	Rv0479c	Rv0479c	cell wall and cell processes	cell wall and cell processes	0	5	5	0.0	568443.5	1047	False	False	0	False	NonReactive-Unq
NC_000962.3	568963	569806	-	CDS	Rv0480c	Rv0480c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	569384.5	843	False	False	0	False	NonReactive-Unq
NC_000962.3	569987	570512	-	CDS	Rv0481c	Rv0481c	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	570249.5	525	False	False	0	False	NonReactive-Unq
NC_000962.3	570538	571648	+	CDS	Rv0482	murB	cell wall and cell processes	cell wall and cell processes	0	6	6	0.0	571093.0	1110	False	False	0	False	NonReactive-Unq
NC_000962.3	571709	573065	+	CDS	Rv0483	lprQ	cell wall and cell processes	cell wall and cell processes	0	7	7	0.0	572387.0	1356	False	False	0	False	NonReactive-Unq
NC_000962.3	573045	573801	-	CDS	Rv0484c	Rv0484c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	573423.0	756	False	False	0	False	NonReactive-Unq
NC_000962.3	573983	575300	+	CDS	Rv0485	Rv0485	regulatory proteins	regulatory proteins	0	7	7	0.0	574641.5	1317	False	False	0	False	NonReactive-Unq
NC_000962.3	575347	576790	+	CDS	Rv0486	mshA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	576068.5	1443	False	False	0	False	NonReactive-Unq
NC_000962.3	576786	577338	+	CDS	Rv0487	Rv0487	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	577062.0	552	False	False	1	True	NonReactive-HHR
NC_000962.3	577663	578269	+	CDS	Rv0488	Rv0488	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	577966.0	606	False	False	0	False	NonReactive-Unq
NC_000962.3	578425	579175	+	CDS	Rv0489	gpm1	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	578800.0	750	False	False	0	False	NonReactive-Unq
NC_000962.3	579348	580581	+	CDS	Rv0490	senX3	regulatory proteins	regulatory proteins	0	6	6	0.0	579964.5	1233	False	False	1	True	NonReactive-HHR
NC_000962.3	580808	581492	+	CDS	Rv0491	regX3	regulatory proteins	regulatory proteins	0	2	2	0.0	581150.0	684	False	False	1	True	NonReactive-HHR
NC_000962.3	581488	583378	-	CDS	Rv0492c	Rv0492c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	9	9	0.0	582433.0	1890	False	False	0	False	NonReactive-Unq
NC_000962.3	583374	583704	-	CDS	Rv0492A	Rv0492A	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	583539.0	330	False	False	0	False	NonReactive-Unq
NC_000962.3	583700	584690	-	CDS	Rv0493c	Rv0493c	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	584195.0	990	False	False	0	False	NonReactive-Unq
NC_000962.3	584694	585423	+	CDS	Rv0494	Rv0494	regulatory proteins	regulatory proteins	0	4	4	0.0	585058.5	729	False	False	0	False	NonReactive-Unq
NC_000962.3	585423	586314	-	CDS	Rv0495c	Rv0495c	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	585868.5	891	False	False	0	False	NonReactive-Unq
NC_000962.3	586393	587380	+	CDS	Rv0496	Rv0496	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	586886.5	987	False	False	0	False	NonReactive-Unq
NC_000962.3	587376	588309	+	CDS	Rv0497	Rv0497	cell wall and cell processes	cell wall and cell processes	0	5	5	0.0	587842.5	933	False	False	0	False	NonReactive-Unq
NC_000962.3	588324	589167	+	CDS	Rv0498	Rv0498	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	588745.5	843	False	False	0	False	NonReactive-Unq
NC_000962.3	589182	590058	+	CDS	Rv0499	Rv0499	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	589620.0	876	False	False	0	False	NonReactive-Unq
NC_000962.3	590082	590970	+	CDS	Rv0500	proC	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	590526.0	888	False	False	0	False	NonReactive-Unq
NC_000962.3	591110	591347	+	CDS	Rv0500A	Rv0500A	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	591228.5	237	False	False	0	False	NonReactive-Unq
NC_000962.3	591653	592784	+	CDS	Rv0501	galE2	intermediary metabolism and respiration	intermediary metabolism and respiration	0	6	6	0.0	592218.5	1131	False	False	0	False	NonReactive-Unq
NC_000962.3	592790	593867	+	CDS	Rv0502	Rv0502	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	593328.5	1077	False	False	0	False	NonReactive-Unq
NC_000962.3	593870	594779	-	CDS	Rv0503c	cmaA2	lipid metabolism	lipid metabolism	0	5	5	0.0	594324.5	909	False	False	0	False	NonReactive-Unq
NC_000962.3	594801	595302	-	CDS	Rv0504c	Rv0504c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	595051.5	501	False	False	0	False	NonReactive-Unq
NC_000962.3	595463	596585	-	CDS	Rv0505c	serB1	intermediary metabolism and respiration	intermediary metabolism and respiration	0	6	6	0.0	596024.0	1122	False	False	0	False	NonReactive-Unq
NC_000962.3	596758	597202	+	CDS	Rv0506	mmpS2	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	596980.0	444	False	False	0	False	NonReactive-Unq
NC_000962.3	597198	600105	+	CDS	Rv0507	mmpL2	cell wall and cell processes	cell wall and cell processes	0	10	10	0.0	598651.5	2907	False	False	0	False	NonReactive-Unq
NC_000962.3	600097	600391	+	CDS	Rv0508	Rv0508	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	600244.0	294	False	False	0	False	NonReactive-Unq
NC_000962.3	600440	601847	+	CDS	Rv0509	hemA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	601143.5	1407	False	False	0	False	NonReactive-Unq
NC_000962.3	601856	602786	+	CDS	Rv0510	hemC	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	602321.0	930	False	False	0	False	NonReactive-Unq
NC_000962.3	602818	604516	+	CDS	Rv0511	hemD	intermediary metabolism and respiration	intermediary metabolism and respiration	0	8	8	0.0	603667.0	1698	False	False	0	False	NonReactive-Unq
NC_000962.3	604601	605591	+	CDS	Rv0512	hemB	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	605096.0	990	False	False	0	False	NonReactive-Unq
NC_000962.3	605603	606152	+	CDS	Rv0513	Rv0513	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	605877.5	549	False	False	0	False	NonReactive-Unq
NC_000962.3	606148	606448	+	CDS	Rv0514	Rv0514	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	606298.0	300	False	False	0	False	NonReactive-Unq
NC_000962.3	606550	608062	+	CDS	Rv0515	Rv0515	insertion seqs and phages	insertion seqs and phages	0	9	9	0.0	607306.0	1512	False	False	1	True	NonReactive-HHR
NC_000962.3	608058	608535	-	CDS	Rv0516c	Rv0516c	information pathways	information pathways	0	2	2	0.0	608296.5	477	False	False	1	True	NonReactive-HHR
NC_000962.3	608745	610056	+	CDS	Rv0517	Rv0517	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	609400.5	1311	False	False	0	False	NonReactive-Unq
NC_000962.3	610187	610883	+	CDS	Rv0518	Rv0518	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	610535.0	696	False	False	0	False	NonReactive-Unq
NC_000962.3	611171	612074	-	CDS	Rv0519c	Rv0519c	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	611622.5	903	False	False	0	False	NonReactive-Unq
NC_000962.3	613037	614342	+	CDS	Rv0522	gabP	cell wall and cell processes	cell wall and cell processes	0	6	6	0.0	613689.5	1305	False	False	0	False	NonReactive-Unq
NC_000962.3	614325	614721	-	CDS	Rv0523c	Rv0523c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	614523.0	396	False	False	0	False	NonReactive-Unq
NC_000962.3	614834	616223	+	CDS	Rv0524	hemL	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	615528.5	1389	False	False	0	False	NonReactive-Unq
NC_000962.3	616222	616831	+	CDS	Rv0525	Rv0525	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	616526.5	609	False	False	0	False	NonReactive-Unq
NC_000962.3	616845	617496	+	CDS	Rv0526	Rv0526	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	617170.5	651	False	False	0	False	NonReactive-Unq
NC_000962.3	617492	618272	+	CDS	Rv0527	ccdA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	617882.0	780	False	False	0	False	NonReactive-Unq
NC_000962.3	618304	619894	+	CDS	Rv0528	Rv0528	cell wall and cell processes	cell wall and cell processes	0	8	8	0.0	619099.0	1590	False	False	0	False	NonReactive-Unq
NC_000962.3	619890	620865	+	CDS	Rv0529	ccsA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	620377.5	975	False	False	0	False	NonReactive-Unq
NC_000962.3	620906	622124	+	CDS	Rv0530	Rv0530	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	621515.0	1218	False	False	0	False	NonReactive-Unq
NC_000962.3	622328	622646	+	CDS	Rv0531	Rv0531	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	622487.0	318	False	False	0	False	NonReactive-Unq
NC_000962.3	622792	624577	+	CDS	Rv0532	PE_PGRS6	PE/PPE	PE/PPE	0	9	9	0.0	623684.5	1785	False	False	0	False	NonReactive-Unq
NC_000962.3	624472	625480	-	CDS	Rv0533c	fabH	lipid metabolism	lipid metabolism	0	5	5	0.0	624976.0	1008	False	False	0	False	NonReactive-Unq
NC_000962.3	625561	626440	-	CDS	Rv0534c	menA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	626000.5	879	False	False	0	False	NonReactive-Unq
NC_000962.3	626456	627251	+	CDS	Rv0535	pnp	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	626853.5	795	False	False	0	False	NonReactive-Unq
NC_000962.3	627247	628288	+	CDS	Rv0536	galE3	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	627767.5	1041	False	False	0	False	NonReactive-Unq
NC_000962.3	628297	629731	-	CDS	Rv0537c	Rv0537c	cell wall and cell processes	cell wall and cell processes	0	7	7	0.0	629014.0	1434	False	False	0	False	NonReactive-Unq
NC_000962.3	630039	631686	+	CDS	Rv0538	Rv0538	cell wall and cell processes	cell wall and cell processes	0	8	8	0.0	630862.5	1647	False	False	0	False	NonReactive-Unq
NC_000962.3	631742	632375	+	CDS	Rv0539	Rv0539	intermediary metabolism and respiration	intermediary metabolism and respiration	0	2	2	0.0	632058.5	633	False	False	0	False	NonReactive-Unq
NC_000962.3	632371	633034	+	CDS	Rv0540	Rv0540	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	632702.5	663	False	False	0	False	NonReactive-Unq
NC_000962.3	633054	634404	-	CDS	Rv0541c	Rv0541c	cell wall and cell processes	cell wall and cell processes	0	6	6	0.0	633729.0	1350	False	False	0	False	NonReactive-Unq
NC_000962.3	634415	635504	-	CDS	Rv0542c	menE	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	634959.5	1089	False	False	0	False	NonReactive-Unq
NC_000962.3	635572	635875	-	CDS	Rv0543c	Rv0543c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	635723.5	303	False	False	0	False	NonReactive-Unq
NC_000962.3	635934	636213	-	CDS	Rv0544c	Rv0544c	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	636073.5	279	False	False	0	False	NonReactive-Unq
NC_000962.3	636209	637463	-	CDS	Rv0545c	pitA	cell wall and cell processes	cell wall and cell processes	0	6	6	0.0	636836.0	1254	False	False	0	False	NonReactive-Unq
NC_000962.3	637582	637969	-	CDS	Rv0546c	Rv0546c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	637775.5	387	False	False	0	False	NonReactive-Unq
NC_000962.3	638031	638916	-	CDS	Rv0547c	Rv0547c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	638473.5	885	False	False	0	False	NonReactive-Unq
NC_000962.3	639011	639956	-	CDS	Rv0548c	menB	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	639483.5	945	False	False	0	False	NonReactive-Unq
NC_000962.3	640227	640641	-	CDS	Rv0549c	vapC3	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	640434.0	414	False	False	0	False	NonReactive-Unq
NC_000962.3	640637	640904	-	CDS	Rv0550c	vapB3	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	640770.5	267	False	False	0	False	NonReactive-Unq
NC_000962.3	641095	642811	-	CDS	Rv0551c	fadD8	lipid metabolism	lipid metabolism	0	9	9	0.0	641953.0	1716	False	False	1	True	NonReactive-HHR
NC_000962.3	642888	644493	+	CDS	Rv0552	Rv0552	conserved hypotheticals	conserved hypotheticals	0	8	8	0.0	643690.5	1605	False	False	0	False	NonReactive-Unq
NC_000962.3	644489	645470	+	CDS	Rv0553	menC	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	644979.5	981	False	False	0	False	NonReactive-Unq
NC_000962.3	645466	646255	+	CDS	Rv0554	bpoC	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	4	4	0.0	645860.5	789	False	False	0	False	NonReactive-Unq
NC_000962.3	646297	647962	+	CDS	Rv0555	menD	intermediary metabolism and respiration	intermediary metabolism and respiration	0	8	8	0.0	647129.5	1665	False	False	0	False	NonReactive-Unq
NC_000962.3	647958	648474	+	CDS	Rv0556	Rv0556	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	648216.0	516	False	False	0	False	NonReactive-Unq
NC_000962.3	648535	649672	+	CDS	Rv0557	mgtA	lipid metabolism	lipid metabolism	0	4	4	0.0	649103.5	1137	False	False	0	False	NonReactive-Unq
NC_000962.3	649688	650393	+	CDS	Rv0558	menH	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	650040.5	705	False	False	0	False	NonReactive-Unq
NC_000962.3	650406	650745	-	CDS	Rv0559c	Rv0559c	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	650575.5	339	False	False	0	False	NonReactive-Unq
NC_000962.3	650778	651504	-	CDS	Rv0560c	Rv0560c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	651141.0	726	False	False	0	False	NonReactive-Unq
NC_000962.3	651528	652755	-	CDS	Rv0561c	Rv0561c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	652141.5	1227	False	False	0	False	NonReactive-Unq
NC_000962.3	652770	653778	+	CDS	Rv0562	grcC1	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	653274.0	1008	False	False	0	False	NonReactive-Unq
NC_000962.3	653878	654739	+	CDS	Rv0563	htpX	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	4	4	0.0	654308.5	861	False	False	0	False	NonReactive-Unq
NC_000962.3	654923	655949	-	CDS	Rv0564c	gpdA1	lipid metabolism	lipid metabolism	0	4	4	0.0	655436.0	1026	False	False	0	False	NonReactive-Unq
NC_000962.3	656009	657470	-	CDS	Rv0565c	Rv0565c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	656739.5	1461	False	False	0	False	NonReactive-Unq
NC_000962.3	657547	658039	-	CDS	Rv0566c	Rv0566c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	657793.0	492	False	False	0	False	NonReactive-Unq
NC_000962.3	658320	659340	+	CDS	Rv0567	Rv0567	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	658830.0	1020	False	False	0	False	NonReactive-Unq
NC_000962.3	659449	660868	+	CDS	Rv0568	cyp135B1	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	660158.5	1419	False	False	0	False	NonReactive-Unq
NC_000962.3	661002	661269	+	CDS	Rv0569	Rv0569	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	661135.5	267	False	False	0	False	NonReactive-Unq
NC_000962.3	661294	663373	+	CDS	Rv0570	nrdZ	information pathways	information pathways	0	10	10	0.0	662333.5	2079	False	False	0	False	NonReactive-Unq
NC_000962.3	663486	664818	-	CDS	Rv0571c	Rv0571c	conserved hypotheticals	conserved hypotheticals	0	7	7	0.0	664152.0	1332	False	False	0	False	NonReactive-Unq
NC_000962.3	665041	665383	-	CDS	Rv0572c	Rv0572c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	665212.0	342	False	False	0	False	NonReactive-Unq
NC_000962.3	665850	667242	-	CDS	Rv0573c	pncB2	intermediary metabolism and respiration	intermediary metabolism and respiration	1	6	7	0.14285714285714285	666546.0	1392	True	False	0	False	NonReactive-Unq
NC_000962.3	667251	668394	-	CDS	Rv0574c	Rv0574c	conserved hypotheticals	conserved hypotheticals	0	6	6	0.0	667822.5	1143	False	False	0	False	NonReactive-Unq
NC_000962.3	668578	669745	-	CDS	Rv0575c	Rv0575c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	669161.5	1167	False	False	0	False	NonReactive-Unq
NC_000962.3	669847	671152	+	CDS	Rv0576	Rv0576	regulatory proteins	regulatory proteins	0	6	6	0.0	670499.5	1305	False	False	0	False	NonReactive-Unq
NC_000962.3	671165	671951	+	CDS	Rv0577	TB27.3	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	671558.0	786	False	False	0	False	NonReactive-Unq
NC_000962.3	671995	675916	-	CDS	Rv0578c	PE_PGRS7	PE/PPE	PE/PPE	0	10	10	0.0	673955.5	3921	False	False	0	False	NonReactive-Unq
NC_000962.3	676237	676996	+	CDS	Rv0579	Rv0579	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	676616.5	759	False	False	0	False	NonReactive-Unq
NC_000962.3	677124	677616	-	CDS	Rv0580c	Rv0580c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	677370.0	492	False	False	0	False	NonReactive-Unq
NC_000962.3	677709	677925	+	CDS	Rv0581	vapB26	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	677817.0	216	False	False	0	False	NonReactive-Unq
NC_000962.3	677921	678329	+	CDS	Rv0582	vapC26	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	678125.0	408	False	False	0	False	NonReactive-Unq
NC_000962.3	678388	679075	-	CDS	Rv0583c	lpqN	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	678731.5	687	False	False	0	False	NonReactive-Unq
NC_000962.3	679228	681862	+	CDS	Rv0584	Rv0584	cell wall and cell processes	cell wall and cell processes	0	10	10	0.0	680545.0	2634	False	False	0	False	NonReactive-Unq
NC_000962.3	681884	684272	-	CDS	Rv0585c	Rv0585c	cell wall and cell processes	cell wall and cell processes	1	8	9	0.1111111111111111	683078.0	2388	True	False	0	False	NonReactive-Unq
NC_000962.3	684409	685132	+	CDS	Rv0586	mce2R	regulatory proteins	regulatory proteins	0	4	4	0.0	684770.5	723	False	False	0	False	NonReactive-Unq
NC_000962.3	685128	685926	+	CDS	Rv0587	yrbE2A	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	4	4	0.0	685527.0	798	False	False	1	True	NonReactive-HHR
NC_000962.3	685927	686815	+	CDS	Rv0588	yrbE2B	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	4	4	0.0	686371.0	888	False	False	1	True	NonReactive-HHR
NC_000962.3	686820	688035	+	CDS	Rv0589	mce2A	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	6	6	0.0	687427.5	1215	False	False	1	True	NonReactive-HHR
NC_000962.3	689058	690504	+	CDS	Rv0591	mce2C	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	6	6	0.0	689781.0	1446	False	False	1	True	NonReactive-HHR
NC_000962.3	690500	692027	+	CDS	Rv0592	mce2D	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	8	8	0.0	691263.5	1527	False	False	1	True	NonReactive-HHR
NC_000962.3	692023	693232	+	CDS	Rv0593	lprL	cell wall and cell processes	cell wall and cell processes	0	6	6	0.0	692627.5	1209	False	False	1	True	NonReactive-HHR
NC_000962.3	693236	694787	+	CDS	Rv0594	mce2F	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	7	7	0.0	694011.5	1551	False	False	0	False	NonReactive-Unq
NC_000962.3	694838	695231	-	CDS	Rv0595c	vapC4	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	695034.5	393	False	False	0	False	NonReactive-Unq
NC_000962.3	695227	695485	-	CDS	Rv0596c	vapB4	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	695356.0	258	False	False	0	False	NonReactive-Unq
NC_000962.3	695667	696903	-	CDS	Rv0597c	Rv0597c	conserved hypotheticals	conserved hypotheticals	0	6	6	0.0	696285.0	1236	False	False	0	False	NonReactive-Unq
NC_000962.3	697153	697567	-	CDS	Rv0598c	vapC27	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	697360.0	414	False	False	0	False	NonReactive-Unq
NC_000962.3	697563	697800	-	CDS	Rv0599c	vapB27	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	1	1	0.0	697681.5	237	False	False	0	False	NonReactive-Unq
NC_000962.3	697903	698410	-	CDS	Rv0600c	Rv0600c	regulatory proteins	regulatory proteins	0	2	2	0.0	698156.5	507	False	False	0	False	NonReactive-Unq
